epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0272,1.17559,2.36163,1.05697,0.8251,0.3206,0.37416,0.25842,1.02997,1.35502,1.01937,0.000254817,0.000254817,0.000254817
2,42.6188,1.13497,1.49824,1.05794,0.69032,0.35851,0.41903,0.26274,1.07397,1.43149,1.05237,0.000498499,0.000498499,0.000498499
3,61.7854,1.11803,1.38675,1.05559,0.58197,0.4415,0.46252,0.30542,1.01758,1.23409,1.03216,0.000729493,0.000729493,0.000729493
4,80.0861,1.11552,1.32249,1.04484,0.66075,0.4569,0.52871,0.34546,1.02167,1.20044,1.00832,0.000711902,0.000711902,0.000711902
5,97.9372,1.08418,1.23029,1.03949,0.62355,0.47497,0.46594,0.31753,1.01299,1.16868,1.02022,0.000692869,0.000692869,0.000692869
6,115.997,1.04994,1.14502,1.02134,0.72882,0.49807,0.53357,0.36028,0.95435,1.03287,0.99449,0.000673836,0.000673836,0.000673836
7,133.797,1.05203,1.12227,1.0229,0.68922,0.49,0.55712,0.38187,0.97471,1.0336,1.0088,0.000654804,0.000654804,0.000654804
8,151.949,0.99396,1.05018,1.0015,0.71395,0.52461,0.57387,0.39415,0.97356,1.00946,1.01787,0.000635771,0.000635771,0.000635771
9,170.044,1.00109,1.00567,1.00064,0.67773,0.53371,0.56557,0.39484,0.94927,0.94854,0.99943,0.000616738,0.000616738,0.000616738
10,188.156,0.97843,0.96057,0.99755,0.68795,0.53001,0.6186,0.40821,0.8956,0.97819,0.98112,0.000597705,0.000597705,0.000597705
11,206.294,0.96889,0.93092,0.98695,0.7675,0.51441,0.653,0.44298,0.92704,0.88374,0.99746,0.000578672,0.000578672,0.000578672
12,224.071,0.95823,0.91819,0.98418,0.72656,0.5494,0.5953,0.4057,0.95136,0.90802,1.00654,0.00055964,0.00055964,0.00055964
13,241.942,0.93201,0.89306,0.97864,0.79647,0.47778,0.59366,0.41978,0.91706,0.9331,0.98959,0.000540607,0.000540607,0.000540607
14,260.132,0.9209,0.85431,0.97118,0.6879,0.56047,0.60634,0.43548,0.89319,0.84731,0.98215,0.000521574,0.000521574,0.000521574
15,278.34,0.91245,0.85039,0.97122,0.80581,0.61874,0.7021,0.47482,0.87358,0.84252,0.97342,0.000502541,0.000502541,0.000502541
16,296.504,0.89844,0.82821,0.96289,0.80291,0.50929,0.70235,0.47482,0.89258,0.81373,0.98417,0.000483509,0.000483509,0.000483509
17,315.498,0.87021,0.79035,0.95222,0.63355,0.69684,0.6663,0.46917,0.87491,0.79566,0.97793,0.000464476,0.000464476,0.000464476
18,334.822,0.87052,0.80019,0.95365,0.73267,0.60773,0.71358,0.48431,0.86132,0.81429,0.9679,0.000445443,0.000445443,0.000445443
19,355.799,0.86997,0.77976,0.95363,0.67327,0.61813,0.64343,0.45734,0.87613,0.82523,0.98262,0.000426411,0.000426411,0.000426411
20,375.967,0.86681,0.77484,0.95049,0.63197,0.65286,0.68445,0.476,0.85583,0.76156,0.977,0.000407378,0.000407378,0.000407378
21,395.82,0.84954,0.74588,0.94531,0.67902,0.63895,0.68705,0.47938,0.85341,0.812,0.963,0.000388345,0.000388345,0.000388345
22,414.387,0.85716,0.74203,0.94364,0.64934,0.69665,0.67876,0.48167,0.8351,0.76936,0.97349,0.000369312,0.000369312,0.000369312
23,432.929,0.83857,0.73661,0.94046,0.66905,0.64463,0.67054,0.489,0.84345,0.77148,0.96627,0.00035028,0.00035028,0.00035028
24,451.05,0.82042,0.71375,0.93682,0.58214,0.74494,0.7268,0.50068,0.82942,0.76579,0.95819,0.000331247,0.000331247,0.000331247
25,469.466,0.82171,0.70881,0.93568,0.76053,0.60806,0.74182,0.51944,0.84038,0.80347,0.97263,0.000312214,0.000312214,0.000312214
26,487.973,0.82151,0.69821,0.9315,0.66858,0.67976,0.7106,0.49997,0.82702,0.78326,0.96387,0.000293181,0.000293181,0.000293181
27,508.338,0.80495,0.68508,0.93395,0.68847,0.64896,0.73004,0.51101,0.82511,0.78306,0.95897,0.000274148,0.000274148,0.000274148
28,528.321,0.80357,0.68364,0.92702,0.66277,0.71139,0.70817,0.50406,0.80671,0.72495,0.95827,0.000255116,0.000255116,0.000255116
29,547.96,0.79705,0.67043,0.9257,0.81992,0.63913,0.75252,0.52063,0.82067,0.73211,0.96208,0.000236083,0.000236083,0.000236083
30,567.458,0.78555,0.66036,0.92302,0.77152,0.62362,0.69189,0.50409,0.80224,0.73942,0.94837,0.00021705,0.00021705,0.00021705
31,594.074,0.77886,0.65801,0.9041,0.63525,0.65245,0.70174,0.50815,0.82109,0.75123,0.95962,0.000198018,0.000198018,0.000198018
32,611.387,0.75798,0.63501,0.89962,0.6744,0.72145,0.71256,0.51153,0.82129,0.7422,0.96176,0.000178985,0.000178985,0.000178985
33,628.839,0.73335,0.60958,0.89405,0.66261,0.74039,0.71609,0.50914,0.82017,0.71198,0.95021,0.000159952,0.000159952,0.000159952
34,646.44,0.73829,0.60366,0.8963,0.6105,0.70254,0.68007,0.49657,0.80667,0.72575,0.95026,0.000140919,0.000140919,0.000140919
35,663.577,0.72816,0.60417,0.89843,0.68027,0.68451,0.69492,0.50322,0.80638,0.72974,0.95053,0.000121887,0.000121887,0.000121887
36,681.219,0.72916,0.59986,0.8946,0.65032,0.68317,0.67615,0.49741,0.8125,0.77294,0.95276,0.000102854,0.000102854,0.000102854
37,698.796,0.71516,0.59207,0.8877,0.72782,0.67539,0.68324,0.4953,0.79383,0.74517,0.94759,8.3821e-05,8.3821e-05,8.3821e-05
38,716.931,0.71634,0.57176,0.88287,0.68347,0.66912,0.67351,0.494,0.78911,0.70252,0.94404,6.47882e-05,6.47882e-05,6.47882e-05
39,736.142,0.70249,0.56635,0.88531,0.70588,0.6534,0.67999,0.50501,0.7872,0.72661,0.94486,4.57555e-05,4.57555e-05,4.57555e-05
40,755.491,0.69733,0.5599,0.88205,0.70893,0.66389,0.69337,0.51118,0.77994,0.71186,0.9434,2.67228e-05,2.67228e-05,2.67228e-05
